Unnamed: 0,Product Name,Size,Company Name,Description,Source URL,Total units sold in 2023,Total units sold in 2024,Total units sold in 2025,Current balance as of January 2026,opening_balance,month,sales
1,FC2-71 Top Mount No-Frost Refrigerator (Top Freezer),"Total net: 528 L (~18.6 cu ft)
W×D×H: 80×72×184 cm (~31.5×28.3×72.4 in)
Fridge 411 L / Freezer 117 L",Homa,Large-capacity top-mount no-frost refrigerator aimed at family kitchens. Electronic control with LED touch display; optional water dispenser and twist ice maker; reversible door and tempered glass shelves.,https://www.homa.cn/product/fc2-71/,160,167,173,16,36,2023-01-01,12
2,FF2-80D Side-by-Side No-Frost Refrigerator,"Total net: 595 L (~21.0 cu ft)
W×D×H: 91×73×177 cm (~35.8×28.7×69.7 in)
Fridge 370 L / Freezer 225 L",Homa,"Full-size side-by-side with total no-frost cooling and a smart convertible drawer. Touch display, door-open alarm, super-freeze/holiday mode, and optional ice maker; suited to larger households.",https://www.homa.cn/product/ff2-80/,103,108,113,16,27,2023-01-01,6
3,FL1-47D Upright No-Frost Refrigerator (All-Fridge),"Net capacity: 359 L (~12.7 cu ft)
W×D×H: 60×66×185 cm (~23.6×26.0×72.8 in)",Homa,"Tall upright, all-refrigerator (no freezer) with total no-frost. Electronic control with LED touch display, power-cool/holiday mode, optional water dispenser, and reversible door—good for extra fresh-food storage.",https://www.homa.cn/product/fl1-47/,197,198,208,28,42,2023-01-01,14
4,"31.7 Cu. Ft. 36"" Standard-Depth French Door Refrigerator (MRF32I6BST)","31.7 cu ft
W×D×H: 35.8""×33.7""×69.88""",Midea (Canada),"High-capacity 36"" French door unit with built-in autofill pitcher and dual ice maker; designed for large households and bulk grocery runs.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/standard-depth-french-door-refrigerator-with-autofill-pitcher.mrf32i6bst,62,66,70,21,25,2023-01-01,4
5,"28.9 Cu. Ft. 36"" Standard-Depth French Door Refrigerator (MRF29D9BST)","28.9 cu ft
W×D×H: 35.83""×33.94""×69.88""",Midea (Canada),"36"" French door model featuring OneTouch AutoFill™ ice & water dispenser and adjustable storage (Infinite Shelf/Door Bin)—a strong mainstream family configuration in Canada.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/standard-depth-french-door-refrigerator-with-onetouch-autofill.mrf29d9bst,91,92,94,15,19,2023-01-01,7
6,"29.3 Cu. Ft. 36"" Standard-Depth French Door Refrigerator (MRF29D2AST)","29.3 cu ft
W×D×H: 35.8""×33.9""×69.9""",Midea (Canada),"Large 36"" French door with recessed handles and exterior ice/water dispensing—popular format for family kitchens needing high capacity.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/standard-depth-french-door-refrigerator-with-recessed-handles.mrf29d2ast,89,93,95,14,21,2023-01-01,6
7,"26.5 Cu. Ft. 36"" Counter-Depth French Door Refrigerator (MRF27I6BST)","26.5 cu ft
W×D×H: 35.8""×29.02""×69.9"" (counter-depth)",Midea (Canada),"Counter-depth French door unit for a built-in look (common in newer Canadian condos/homes). Includes autofill pitcher, dual ice maker, and Wi‑Fi control.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/counter-depth-french-door-refrigerator-with-autofill-pitcher.mrf27i6bst,86,94,95,22,26,2023-01-01,7
8,"22.6 Cu. Ft. 33"" Counter-Depth French Door Refrigerator (MRF23I7AST)","22.6 cu ft
W×D×H: 32.87""×29.06""×67.32"" (counter-depth)",Midea (Canada),"33"" counter-depth French door with built-in freezer ice maker and Wi‑Fi—fits tighter kitchen layouts while staying in the premium French-door segment.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/counter-depth-french-door-refrigerator-with-ice-maker.mrf23i7ast,99,108,112,32,32,2023-01-01,6
9,"18.4 Cu. Ft. 30"" French Door Refrigerator (MRF18B4AST)","18.4 cu ft
W×D×H: 29.5""×30.9""×66.6""",Midea (Canada),"30"" French door refrigerator with recessed handles—strong “value premium” size for many Canadian kitchens that can’t fit a full 36"" unit.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/french-door-refrigerator-with-recessed-handles.mrf18b4ast,124,136,133,44,34,2023-01-01,8
10,"18.1 Cu. Ft. 30"" Top Mount Freezer Refrigerator (MRT18D3BST)","18.1 cu ft
W×D×H: 29.7""×30.7""×66.6""",Midea (Canada),"Top-mount freezer refrigerator (classic, budget-friendly format). Multi-airflow cooling, automatic defrost, and ice-maker ready—high-volume segment for rentals and price-sensitive buyers.",https://www.midea.com/ca/refrigeration/top_mount_refrigerators/spacious-top-mount-freezer-refrigerator.mrt18d3bst,164,166,175,29,32,2023-01-01,10
